Inspektions-ID,Videoname,Videozeitpunkt (h:min:sec),Meter ab Rohrbeginn,Schadenskürzel,Schadensbeschreibung,Rohrmaterial,Rohrprofil,Inspekteur-Name,Rohrhöhe (mm),Rohrbreite (mm),Kamera-Schwenkneigung (Grad),Kamera-Drehneigung (Grad),Videopfad,Videohash,Kmd-Pfad
122475,AS_MW_148I.MPG,00:11:44,42.2,BABBB,,Stahlbeton,Kreisprofil,Dorr/Akpinar,400,400,103.0,18.0,"\\192.168.200.8\Datengrab\Dorr\Daten ab 04-2020\TV-Untersuchung\ZV Fuchstalgemeinden\Fuchstal, Asch vom 18.03.-09.04.2020 alt\Sichtversion 001\bin\AS_MW_148I.MPG",1958166551,"\\192.168.200.8\Datengrab\Dorr\Daten ab 04-2020\TV-Untersuchung\ZV Fuchstalgemeinden\Fuchstal, Asch vom 18.03.-09.04.2020 alt\Sichtversion 001\bin\MESSDAT\Asch2020\AS_MW_148I.kmd"
86084,F4SU4_37790204.MPG,00:06:39,32.06,BABBB,,Beton,Eiprofil (H/B=3/2),Dorr/Raouf,1050,700,99.0,271.0,"\\192.168.200.8\Datengrab\Dorr\3-17-11-17\AZV Füssen\Füssen, Sammler F 102 vom 21.09.-26.09.2017\Sichtversion DVD 001\F4SU4_37790204.MPG",3383120326,"\\192.168.200.8\Datengrab\Dorr\3-17-11-17\AZV Füssen\Füssen, Sammler F 102 vom 21.09.-26.09.2017\Sichtversion DVD 001\MESSDAT\AZV_Füss\en2017\F4SU4_37790204.kmd"
100581,AW 4.12I25102016.mpg,00:17:01,40.0,BABBB,,Beton,Kreisprofil,Michael Gurschler,250,250,,,"\\192.168.200.8\Datengrab\Dorr\Daten ab 04-2016\TV-Untersuchung\Stadt Ravensburg\Ravensburg, Weststadt vom 22.09.-16.11.2016\digitale Filme\AW 4.12I25102016.mpg",2713849132,
138477,F410PE30060308.MPG,00:12:16,32.5,BABBB,,Steinzeug,Kreisförmig,Dorr/BeGü,250,250,,,\\192.168.200.8\Datengrab\Dorr\Daten ab 12-2014\TV-Untersuchung\Stadt Altensteig\Altensteig vom 03.08.-17.09.2015\Sichtversion 001\F410PE30060308.MPG,2146338281,\\192.168.200.8\Datengrab\Dorr\Daten ab 12-2014\TV-Untersuchung\Stadt Altensteig\Altensteig vom 03.08.-17.09.2015\Sichtversion 001\MESSDAT\Altenste\ig2015\F410PE30060308.kmd
22165,ZS 70.62I14102019.MPG,00:08:34,27.07,BABBB,,Beton,Kreisprofil,Gurschler,300,300,,,"\\192.168.200.8\Datengrab\Dorr\08-19-04-20\Stadt Ravensburg\Ravensburg, EKVO 2019-2 vom 07.10.-30.10.2019\digitale Filme\ZS 70.62I14102019.MPG",3739245974,"\\192.168.200.8\Datengrab\Dorr\08-19-04-20\Stadt Ravensburg\Ravensburg, EKVO 2019-2 vom 07.10.-30.10.2019\Sichtversion ohne Filme\bin\MESSDAT\Ravensbu\rg19_2\ZS 70.62I14102019.kmd"
55706,S3450I.MPG,00:02:22,9.13,BABBB,,Asbestzement,Kreisprofil,Dorr/BeGü,200,200,,,\\192.168.200.8\Datengrab\Dorr\12-18-08-19\AV Bay. Bodenseegemeinden\Bodolz vom 17.12.2018-22.03.2019\Sichtversion 001\S3450I.MPG,2046770850,\\192.168.200.8\Datengrab\Dorr\12-18-08-19\AV Bay. Bodenseegemeinden\Bodolz vom 17.12.2018-22.03.2019\Sichtversion 001\MESSDAT\Bodolz_2\018\S3450I.kmd
90362,F4112933870314.MPG,00:02:10,18.03,BABBB,,Beton,Kreisprofil,Dorr/BeGü,300,300,,,\\192.168.200.8\Datengrab\Dorr\Daten ab 04-2016\TV-Untersuchung\Abd Südbayern\A96 München - Lindau vom 16.08.-14.09.2016\Sichtversion 001\F4112933870314.MPG,1246929792,\\192.168.200.8\Datengrab\Dorr\Daten ab 04-2016\TV-Untersuchung\Abd Südbayern\A96 München - Lindau vom 16.08.-14.09.2016\Sichtversion 001\MESSDAT\A96_2016\F4112933870314.kmd
55847,T2218G.MPG,00:02:51,1.53,BABBB,,Beton,Kreisprofil,Dorr/BeGü,200,200,,,\\192.168.200.8\Datengrab\Dorr\12-18-08-19\AV Bay. Bodenseegemeinden\Bodolz vom 17.12.2018-22.03.2019\Sichtversion 001\T2218G.MPG,3392645298,\\192.168.200.8\Datengrab\Dorr\12-18-08-19\AV Bay. Bodenseegemeinden\Bodolz vom 17.12.2018-22.03.2019\Sichtversion 001\MESSDAT\Bodolz_2\018\T2218G.kmd
27715,F4NSZ_39810D01.MPG,00:08:25,32.99,BABBB,,Asbestzement,Kreisprofil,Gurschler,700,700,,,"\\192.168.200.8\Datengrab\Dorr\11-17-12-18\AZV Füssen\Füssen, Sammler F106, Moosangerweg vom 04.04.-12.04.2018\Sichtversion 001\F4NSZ_39810D01.MPG",2201284529,"\\192.168.200.8\Datengrab\Dorr\11-17-12-18\AZV Füssen\Füssen, Sammler F106, Moosangerweg vom 04.04.-12.04.2018\Sichtversion 001\MESSDAT\AZVFüsse\n2018\F4NSZ_39810D01.kmd"
135498,F4ZBI_2973030D.MPG,00:01:55,0.4,BABBB,,Beton,Kreisprofil,Dorr/BeGü,250,250,,,\\192.168.200.8\Datengrab\Dorr\Daten ab 12-2014\TV-Untersuchung\Gemeinde Halblech\Buching vom 06.07.-22.07.2015\Sichtversion 001\F4ZBI_2973030D.MPG,1169551268,\\192.168.200.8\Datengrab\Dorr\Daten ab 12-2014\TV-Untersuchung\Gemeinde Halblech\Buching vom 06.07.-22.07.2015\Sichtversion 001\MESSDAT\EBT\F4ZBI_2973030D.kmd
