Inspektions-ID;Videoname;Videozeitpunkt (h:min:sec);Meter ab Rohrbeginn;Schadenskürzel;Schadensbeschreibung;Rohrmaterial;Rohrprofil;Inspekteur-Name;Rohrhöhe (mm);Rohrbreite (mm);Kamera-Schwenkneigung (Grad);Kamera-Drehneigung (Grad);Videopfad;Videohash;Kmd-Pfad
142074;T2 10.68I23072015.MPG;00:16:23;38.44;BCCYB;Krümmung der Leitung nach unten;Beton;Kreisprofil;Dorr/BeGü;300;300;;;\\192.168.200.8\Datengrab\Dorr\Daten ab 12-2014\TV-Untersuchung\Stadt Ravensburg, Tiefbau\Ravensburg, Oberzell vom 14.07.-29.07.2015\Sichtversion 001\T2 10.68I23072015.MPG;41251304;\\192.168.200.8\Datengrab\Dorr\Daten ab 12-2014\TV-Untersuchung\Stadt Ravensburg, Tiefbau\Ravensburg, Oberzell vom 14.07.-29.07.2015\Sichtversion 001\MESSDAT\Ravensbu\rg_Ober\T2 10.68I23072015.kmd
37763;6M0073_6M0073_6M0074_D_21112017_133858.mpg;00:02:47;32.91;BCCYB;Krümmung der Leitung nach unten;Polyvinylchlorid;Kreisprofil;G. Rottmair;250;250;;;\\192.168.200.8\Datengrab\Dorr\11-17-12-18\Gemeinde Schemmerhofen\Schemmerberg, diverse Strassen vom 13.11.2017-03.05.2018\Sichtversion 001\6M0073_6M0073_6M0074_D_21112017_133858.mpg;2100693667;
18641;F4ZB6_32870306.MPG;00:05:15;14.05;BCCYB;Krümmung der Leitung nach unten;Polyvinylchlorid;Kreisprofil;BeGü;100;100;;;\\192.168.200.8\Datengrab\Dorr\08-19-04-20\Käserei Champignon\Lauben, Kemptener Strasse 17-24 vom 22.02.2016-04.02.2020\Sichtversion 001\bin\F4ZB6_32870306.MPG;2338829825;\\192.168.200.8\Datengrab\Dorr\08-19-04-20\Käserei Champignon\Lauben, Kemptener Strasse 17-24 vom 22.02.2016-04.02.2020\Sichtversion 001\bin\MESSDAT\Heising_\Champ\F4ZB6_32870306.kmd
97079;F4UXK_33560305.MPG;00:01:40;1.41;BAFBE;;Steinzeug;Kreisprofil;Dorr/BeGü;250;250;;;\\192.168.200.8\Datengrab\Dorr\Daten ab 04-2016\TV-Untersuchung\Markt Oberstaufen\Oberstaufen, Thalkirchdorf vom 25.07.-03.08.2016\Sichtversion 001\F4UXK_33560305.MPG;2376430667;\\192.168.200.8\Datengrab\Dorr\Daten ab 04-2016\TV-Untersuchung\Markt Oberstaufen\Oberstaufen, Thalkirchdorf vom 25.07.-03.08.2016\Sichtversion 001\MESSDAT\Oberstau\fen2016\F4UXK_33560305.kmd
26459;26R0135G.MPG;00:04:12;1.77;BAFBE;;Beton;Kreisprofil;Dorr/BeGü;400;400;;;\\192.168.200.8\Datengrab\Dorr\11-17-12-18\AV Starnberger See\Starnberg RW-Kanal\Starnberg RW-Kanal vom 09.11.2016.-14.12.2017\Sichtversion 001\26R0135G.MPG;74328567;\\192.168.200.8\Datengrab\Dorr\11-17-12-18\AV Starnberger See\Starnberg RW-Kanal\Starnberg RW-Kanal vom 09.11.2016.-14.12.2017\Sichtversion 001\MESSDAT\Starnber\gRWneu\26R0135G.kmd
26778;20R1520AltI.MPG;00:20:19;37.68;BAFBE;;Beton;Kreisprofil;Dorr/BeGü;250;250;;;\\192.168.200.8\Datengrab\Dorr\11-17-12-18\AV Starnberger See\Starnberg RW-Kanal\Starnberg RW-Kanal vom 09.11.2016.-14.12.2017\Sichtversion 001\20R1520AltI.MPG;2374315338;\\192.168.200.8\Datengrab\Dorr\11-17-12-18\AV Starnberger See\Starnberg RW-Kanal\Starnberg RW-Kanal vom 09.11.2016.-14.12.2017\Sichtversion 001\MESSDAT\Starnber\gRWneu\20R1520AltI.kmd
97831;90944013G.mpg;00:06:35;43.92;BAFBE;;Steinzeug;Kreisprofil;Zuern;250;250;;;\\192.168.200.8\Datengrab\Dorr\Daten ab 04-2016\TV-Untersuchung\Stadt Heidenheim\Heidenheim, Mergelstetten vom 28.09.-17.10.2016\Sichtversion 001\90944013G.mpg;974489545;
51415;ZW 76.051I13032018.MPG;00:02:11;3.87;BAFBE;;Beton;Kreisprofil;Gurschler;400;400;;;\\192.168.200.8\Datengrab\Dorr\11-17-12-18\Stadt Ravensburg\Ravensburg, Weststadt vom 05.03.-13.03.2018\digitale Filme\ZW 76.051I13032018.MPG;1734040500;\\192.168.200.8\Datengrab\Dorr\11-17-12-18\Stadt Ravensburg\Ravensburg, Weststadt vom 05.03.-13.03.2018\Sichtversion ohne Filme\MESSDAT\RV-Wests\tadt\ZW 76.051I13032018.kmd
100553;AW 1.20G27102016.mpg;00:19:27;60.68;BAFAE;;Stahlbeton;Kreisprofil;Michael Gurschler;600;600;;;\\192.168.200.8\Datengrab\Dorr\Daten ab 04-2016\TV-Untersuchung\Stadt Ravensburg\Ravensburg, Weststadt vom 22.09.-16.11.2016\digitale Filme\AW 1.20G27102016.mpg;1737298838;
103515;_19013D08573333__.mpg;00:03:16;6.8;BAFAE;;Beton;Kreisprofil;Dorr/Gurschler;600;600;;;\\192.168.200.8\Datengrab\Dorr\Daten ab 04-2016\TV-Untersuchung\Stadt Wangen\Wangen im Allgäu, div. Ortsteile vom 11.08.-13.09.2016\Sichtversion 001\_19013D08573333__.mpg;662725375;
139874;F417813042051A.MPG;00:05:36;8.53;BAFAE;;Stahlbeton;Kreisprofil;Dorr/Borys;300;300;;;\\192.168.200.8\Datengrab\Dorr\Daten ab 12-2014\TV-Untersuchung\Stadt Kaufbeuren, Entsorgung\DVD 249\KF, Hartmähderweg vom 16.09.-17.09.2015\Haltungen\F417813042051A.MPG;2183097445;
132162;F4Y5C_30560307.MPG;00:01:37;0.0;BAFAE;;Stahlbeton;Kreisprofil;Dorr/Stegnitz;400;400;;;\\192.168.200.8\Datengrab\Dorr\Daten ab 10-2ß15\TV-Untersuchung\Stadt Vöhringen\Sichtversion 001\F4Y5C_30560307.MPG;1375381604;\\192.168.200.8\Datengrab\Dorr\Daten ab 10-2ß15\TV-Untersuchung\Stadt Vöhringen\Sichtversion 001\MESSDAT\Vöhringe\n2015\F4Y5C_30560307.kmd
140493;F417T229010810.MPG;03:36:18;13.0;BAFAE;;Stahlbeton;Kreisförmig;Dorr/Alker;400;400;;;\\192.168.200.8\Datengrab\Dorr\Daten ab 12-2014\TV-Untersuchung\Stadt Kirchheim Teck\2015\Kirchheim unter Teck, Kernstadt, Partielle Sanierung 2008 vom 21.04.-30.04.2015\Sichtversion 001\F417T229010810.MPG;1626919298;
15229;F4ZQC_43350813.MPG;00:01:20;1.84;BCAAB;Abzweig, geschlossen;Steinzeug;Kreisprofil;Dorr/Alker;200;200;;;\\192.168.200.8\Datengrab\Dorr\08-19-04-20\KKU EÜV 2018\Kempten, EÜV 2018 vom 11.03.-02.05.2019\Sichtversion DVD 001\F4ZQC_43350813.MPG;1865270010;\\192.168.200.8\Datengrab\Dorr\08-19-04-20\KKU EÜV 2018\Kempten, EÜV 2018 vom 11.03.-02.05.2019\Sichtversion DVD 001\MESSDAT\KKUEÜV20\18\F4ZQC_43350813.kmd
86791;F4174L2545050D.MPG;00:02:02;10.3;BCAAB;Abzweig, geschlossen;Steinzeug;;Dorr/Höhn;150;150;-18.0;287.0;\\192.168.200.8\Datengrab\Dorr\Daten ab 03-2014\TV-Untersuchung\Bad Feilnbach\TV-Untersuchung vom 05.05.-15.05.2014\Sichtversion 001\F4174L2545050D.MPG;1958253926;\\192.168.200.8\Datengrab\Dorr\Daten ab 03-2014\TV-Untersuchung\Bad Feilnbach\TV-Untersuchung vom 05.05.-15.05.2014\Sichtversion 001\MESSDAT\Bad_Feil\nbach_H\F4174L2545050D.kmd
82570;60R1360G.mpg;00:06:43;18.39;BCAAB;Abzweig, geschlossen;Steinzeug;Kreisprofil;G. Rottmair;250;250;;;\\192.168.200.8\Datengrab\Dorr\3-17-11-17\AV Starnberger See\Bernried vom 19.12.2016-02.06.2017\Bernried RW-Kanal vom 19.12.2016-03.05.2017\Sichtversion 001\60R1360G.mpg;3817221742;
89179;A 2.441G04082014.MPG;00:01:59;3.4;BCAAB;Abzweig, geschlossen;Polypropylen;Kreisprofil;Dorr/Alker;400;400;;;\\192.168.200.8\Datengrab\Dorr\Daten ab 03-2014\TV-Untersuchung\Stadt Ravensburg\Ravensburg vom 04.08.-06.08.2014\Sichtversion DVD 001\A 2.441G04082014.MPG;1320426359;
23040;H_56280060.mpg;00:02:39;14.1;BCAAB;Abzweig, geschlossen;Steinzeug;Kreisprofil;M.Mangold;300;300;;;\\192.168.200.8\Datengrab\Dorr\08-19-04-20\Stadt Tübingen\Tübingen EKVO2018 vom\Tübingen 2018~2F1\H_56280060.mpg;2888769511;
38886;F413D438550207.MPG;00:01:38;1.65;BBAB;;Polyvinylchlorid;Kreisprofil;Dorr/Fazio;200;200;220.0;163.0;\\192.168.200.8\Datengrab\Dorr\11-17-12-18\Gemeinde Seehausen\Seehausen vom 04.12.2017-28.05.2018\Sichtversion 001\F413D438550207.MPG;3447604803;\\192.168.200.8\Datengrab\Dorr\11-17-12-18\Gemeinde Seehausen\Seehausen vom 04.12.2017-28.05.2018\Sichtversion 001\MESSDAT\Seehause\n2017\F413D438550207.kmd
77508;F4ORP_42300500.MPG;00:11:52;49.32;BBAB;;Beton;Kreisprofil;Dorr/Meier;300;300;;;\\192.168.200.8\Datengrab\Dorr\12-18-08-19\Stadt Kaufbeuren, Entsorgung\DVD 326\Kaufbeuren, Silberstrasse vom 17.12.2018\Haltungen\F4ORP_42300500.MPG;257334376;
26307;21R2680G.MPG;00:05:19;19.01;BBAB;;Beton;Kreisprofil;Dorr/Alker;300;300;;;\\192.168.200.8\Datengrab\Dorr\11-17-12-18\AV Starnberger See\Starnberg RW-Kanal\Starnberg RW-Kanal vom 09.11.2016.-14.12.2017\Sichtversion 001\21R2680G.MPG;1392464326;
123938;F412653218030A.MPG;00:01:28;0.59;BBAB;;Asbestzement;Kreisprofil;Dorr/BeGü;200;200;;;\\192.168.200.8\Datengrab\Dorr\Daten ab 10-2ß15\TV-Untersuchung\Bayerische Bodenseegemeinden\Weißensberg vom 15.02.-21.03.2016\Sichtversion 001\F412653218030A.MPG;2282938632;\\192.168.200.8\Datengrab\Dorr\Daten ab 10-2ß15\TV-Untersuchung\Bayerische Bodenseegemeinden\Weißensberg vom 15.02.-21.03.2016\Sichtversion 001\MESSDAT\AwV-b-Bo\densee\F412653218030A.kmd
66112;H_S 4.mpg;00:02:17;4.3;BBAB;;Steinzeug;;Friedrich Marcus;150;150;;;\\192.168.200.8\Datengrab\Dorr\12-18-08-19\Joos Oliver\TV-Untersuchung\Maurer - Sonthofen, Metzelerstr. 21 - 25\DVD_001\H_S 4.mpg;2438496070;
